L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42
0,89,17,203,207,28,35,13,36,11,314,66,88,106,55,23,47,44,5,5,73,597,66,263,23,33,0,19,19,255,41,35,24,25,14,17,106,4,174,9,59,0
42,95,18,214,223,13,39,13,31,14,312,66,83,120,17,23,34,22,7,5,66,557,66,267,35,35,0,19,24,270,43,40,29,9,5,12,112,4,178,12,63,0
1,95,7,205,214,27,27,15,48,13,327,38,87,122,20,21,32,55,7,5,66,563,66,240,36,17,0,7,29,272,33,19,22,9,5,14,94,10,180,12,63,0
0,95,8,218,232,28,32,15,40,15,323,44,72,124,31,26,29,48,13,5,68,524,64,258,47,17,0,10,33,288,34,19,23,11,8,19,103,13,192,24,68,40
1,104,8,226,243,29,33,12,48,18,326,47,86,122,31,32,26,51,8,5,75,487,68,268,50,18,0,11,17,290,34,19,23,16,5,10,133,13,196,20,81,0
0,105,1,237,225,25,10,13,56,20,336,47,76,117,35,13,33,48,8,8,67,448,64,285,50,19,0,4,17,295,12,0,26,18,5,10,117,14,201,20,124,0
1,109,7,235,229,25,15,18,70,21,341,49,95,128,29,16,31,56,9,8,61,401,66,291,52,22,0,5,27,295,16,2,29,23,8,10,117,7,201,25,125,0
0,115,17,244,241,25,17,21,49,15,347,56,117,134,18,24,22,59,14,8,60,369,75,277,41,6,0,6,31,298,24,2,17,22,8,4,132,9,207,5,132,0
0,115,22,250,237,30,27,19,57,18,336,56,101,136,20,27,26,43,6,11,59,364,76,298,42,6,0,6,17,295,25,2,21,23,11,4,138,9,223,5,137,1
0,115,23,264,243,37,23,21,35,23,331,19,111,136,34,14,28,64,9,11,54,323,74,309,42,6,0,4,19,310,15,2,21,27,16,4,108,18,233,6,138,0
0,115,26,271,254,20,30,35,43,26,323,20,92,140,35,14,22,56,13,11,53,320,74,324,42,6,0,8,23,308,21,2,29,14,9,5,128,11,250,1,138,0
0,115,31,270,271,20,30,42,38,29,320,20,99,141,35,14,26,73,21,11,59,279,71,341,44,6,0,9,27,329,24,7,33,14,9,5,150,12,254,9,138,0
0,66,13,294,264,20,12,29,49,26,357,24,104,140,17,6,29,46,17,11,61,239,71,329,31,7,0,18,13,343,9,5,22,14,13,6,111,9,255,13,103,0
0,69,14,296,272,20,14,29,49,33,357,24,112,158,21,14,35,52,17,11,65,201,71,335,39,10,0,18,16,357,12,20,25,3,5,2,130,9,256,24,103,1
1,77,19,305,287,7,15,31,50,36,363,28,109,150,21,14,43,24,17,11,65,228,70,347,39,10,0,19,20,362,12,25,29,3,5,7,138,7,256,27,110,1
1,77,22,318,265,7,17,32,70,48,373,40,117,156,25,16,29,42,20,12,55,192,67,370,43,18,0,19,22,365,14,25,29,3,5,7,145,14,261,33,110,0
0,79,11,324,269,7,14,9,50,48,366,26,111,161,31,14,14,31,5,12,55,145,77,385,44,21,0,12,20,373,6,20,35,0,0,5,114,10,264,21,116,1
0,80,20,332,283,12,15,22,63,35,368,27,122,158,21,14,20,44,7,12,57,109,75,355,28,26,0,12,23,373,7,21,27,0,2,13,130,13,271,25,116,5
0,88,24,335,270,8,17,25,46,36,374,27,115,151,32,14,18,34,11,12,57,73,73,368,28,26,0,18,24,365,7,21,27,8,4,14,159,10,274,25,116,1
0,90,16,342,279,8,11,30,50,40,366,28,139,148,37,2,8,30,11,12,50,34,68,389,34,27,0,6,27,369,4,2,27,8,8,9,114,17,282,4,123,1
0,93,17,335,291,8,15,21,42,41,368,32,145,144,37,2,21,41,18,12,52,7,77,409,39,27,0,6,20,361,5,2,27,8,8,14,132,20,284,4,123,1
0,101,18,345,291,9,15,24,53,49,363,39,136,138,39,5,38,38,22,13,48,0,79,419,39,37,0,8,20,372,12,2,28,12,8,14,145,24,289,5,124,0
0,108,18,351,275,13,15,29,35,27,342,43,145,137,28,9,43,42,24,13,48,13,81,407,24,24,0,11,21,366,26,6,13,4,4,40,159,13,162,1,124,0
0,110,3,351,277,11,5,29,23,35,316,23,134,132,26,18,44,27,32,13,48,5,82,428,29,24,0,6,26,366,22,8,24,5,4,42,115,31,162,3,127,0
0,112,4,362,293,12,9,8,37,40,291,23,143,121,33,18,38,33,29,13,55,41,82,433,31,24,7,6,12,357,22,8,37,16,6,43,133,22,164,3,131,0
0,123,8,349,272,16,9,13,35,43,262,24,122,121,40,20,18,23,34,13,65,15,81,439,35,27,19,11,14,358,23,13,38,12,7,52,137,33,177,2,134,0
0,123,6,356,273,16,5,13,46,54,250,26,137,124,46,19,33,36,38,13,56,0,81,442,38,31,36,10,18,352,5,10,38,16,9,52,99,15,186,2,135,1
0,125,6,353,287,13,6,15,30,32,231,28,137,125,46,28,31,50,39,13,59,31,78,424,29,17,55,11,25,357,7,10,25,16,12,52,114,18,194,8,135,0
1,131,6,353,268,13,12,10,39,32,212,36,146,114,21,28,20,64,19,15,58,5,78,444,31,18,79,12,21,352,10,10,25,11,15,61,120,4,194,9,147,0
0,131,8,354,265,18,12,11,26,37,206,44,140,114,21,33,18,44,19,15,66,0,73,453,42,19,103,17,21,352,13,20,28,11,16,65,128,8,211,12,158,1
0,133,4,340,274,19,14,11,44,37,175,23,149,104,21,22,16,44,19,15,72,7,72,453,42,19,130,15,21,334,8,10,28,11,17,68,88,12,215,13,161,0
0,132,17,345,285,12,14,12,27,45,162,31,150,108,21,24,22,28,19,16,78,4,64,452,42,19,161,22,27,343,8,14,29,7,9,69,105,13,223,12,161,0
1,73,17,334,280,14,15,11,34,28,159,31,157,99,31,26,13,29,1,5,84,7,64,418,33,2,221,24,10,332,8,14,19,9,19,70,123,13,233,16,61,1
0,76,21,343,284,18,11,11,18,28,132,43,168,95,12,14,10,36,1,5,89,0,64,420,33,11,258,22,11,332,0,17,22,9,31,76,100,13,249,54,61,0
0,83,22,348,307,19,16,12,19,28,125,53,161,84,16,15,19,47,1,5,88,0,68,436,33,16,306,78,11,331,9,20,22,2,24,45,117,5,252,60,66,0
0,83,23,339,293,19,21,12,34,28,108,53,162,80,17,16,27,65,1,5,93,4,74,439,34,13,349,78,15,334,11,23,23,7,26,45,126,7,254,61,66,0
0,85,56,348,302,11,26,8,24,29,101,59,145,86,18,23,30,57,2,5,90,0,76,442,38,13,400,78,16,342,14,34,23,17,26,44,145,15,267,66,66,1
0,87,50,353,307,22,15,12,31,3,92,37,146,97,19,16,17,64,2,5,83,36,75,414,25,22,447,57,16,340,20,27,8,15,22,31,116,16,277,19,67,0
0,90,51,360,303,27,15,14,21,4,86,51,145,98,15,16,15,47,2,5,82,0,70,422,29,15,488,58,22,334,20,30,9,15,22,42,132,12,281,19,69,0
0,93,51,333,309,27,15,17,30,5,74,59,142,92,15,24,22,58,5,5,71,5,70,441,31,15,547,58,26,334,25,30,20,15,27,42,147,14,279,22,70,1
43,94,15,333,317,19,7,10,37,9,70,61,123,86,19,8,23,41,13,5,76,0,75,437,31,19,620,59,23,330,14,3,22,4,14,34,111,3,311,3,73,1
0,97,21,327,323,20,7,15,60,9,62,73,130,84,21,11,19,52,17,5,74,4,67,437,31,19,658,59,28,330,14,10,28,4,14,34,128,3,314,4,77,1
0,101,24,335,310,25,7,15,45,6,50,75,110,82,23,11,12,41,17,5,76,0,73,415,10,15,727,59,29,337,21,10,24,4,14,37,131,11,315,11,78,0
0,108,24,339,313,25,8,26,53,12,40,75,118,84,24,17,11,50,23,5,76,49,73,434,14,19,783,59,34,337,26,12,24,4,0,23,138,11,332,19,78,0
0,112,9,326,321,26,1,19,35,22,32,39,118,78,27,10,15,40,19,5,76,0,76,444,16,25,823,17,13,332,15,9,24,4,1,30,102,11,338,21,81,0
0,123,13,335,330,14,1,19,38,24,29,45,131,82,27,10,13,38,19,5,76,10,75,444,23,29,858,17,13,332,15,9,25,9,2,30,109,17,352,22,81,0
1,128,13,327,340,18,4,27,41,31,28,45,131,84,30,12,11,47,23,5,76,0,74,444,25,29,878,17,15,332,15,9,25,5,2,21,125,9,364,21,86,0
0,133,9,335,340,23,3,32,49,31,26,49,126,89,30,3,15,28,29,5,75,0,77,431,27,23,887,6,15,332,3,0,63,5,2,25,94,17,366,27,97,0
0,133,14,336,332,24,13,16,55,31,24,53,135,77,30,5,27,36,14,0,76,0,85,446,27,24,902,7,5,332,4,0,63,10,17,25,94,13,372,29,101,0
0,140,14,348,337,20,16,19,39,39,21,54,124,78,15,7,30,18,19,0,73,49,88,446,28,26,915,11,6,332,4,0,63,5,16,19,106,14,383,14,101,36
0,140,14,362,341,21,19,20,48,46,18,60,139,76,15,14,34,31,19,0,83,0,89,446,28,26,929,11,14,329,16,0,66,5,16,20,123,2,387,18,101,1
0,140,13,355,344,23,19,21,29,46,10,25,130,76,15,14,42,33,19,0,78,6,79,446,28,26,939,8,14,329,15,0,66,5,16,27,81,2,394,18,101,1
0,71,16,370,331,24,25,6,53,25,7,26,132,88,25,19,21,44,9,0,72,0,81,425,13,15,942,8,17,324,17,0,55,0,5,18,88,1,247,9,40,0
0,87,20,358,340,14,26,11,43,29,7,26,111,82,29,28,15,39,20,0,69,0,80,436,14,16,946,11,21,326,22,0,55,0,5,19,96,5,256,10,47,0
0,87,11,362,349,14,13,11,64,30,7,31,125,74,21,19,20,46,20,0,68,0,78,444,16,16,948,3,22,320,16,0,55,5,5,19,60,7,262,11,49,0
0,89,13,357,345,22,17,13,63,36,3,33,121,73,17,23,31,27,20,0,68,0,87,447,16,16,952,3,31,332,18,2,55,9,5,6,78,11,266,9,64,0
0,93,23,366,355,28,18,8,54,36,3,33,135,75,22,23,33,33,14,0,67,0,82,447,23,16,952,7,19,331,21,7,55,12,11,6,81,12,270,9,64,0
0,94,23,406,368,19,18,53,59,17,3,34,126,71,22,32,36,34,14,0,67,0,94,442,10,15,957,10,19,339,21,9,46,12,11,8,87,21,273,9,68,0
0,101,12,404,373,21,9,55,49,20,3,13,122,77,24,13,57,34,15,0,62,0,95,444,12,18,957,10,20,347,16,9,47,9,10,3,42,23,277,2,68,0
0,101,14,404,372,22,16,60,59,23,3,13,123,72,25,14,42,35,24,0,62,6,95,448,12,18,970,10,20,347,24,11,52,9,10,8,60,29,279,9,68,3
0,104,28,398,381,23,17,54,49,23,3,19,104,76,11,14,17,28,15,0,61,0,100,448,14,20,970,11,4,345,26,11,52,9,14,8,63,14,284,9,68,0
0,104,20,405,386,37,12,55,55,23,3,22,126,75,11,1,27,42,15,0,58,0,97,448,14,20,970,7,5,345,15,2,52,2,7,9,39,14,290,7,74,0
0,105,29,398,380,23,19,73,33,15,3,23,117,66,13,1,34,26,15,0,55,0,97,421,4,19,974,7,5,347,17,2,68,2,17,17,48,3,294,10,77,0
0,107,36,401,394,25,19,73,46,19,3,26,127,75,13,7,18,30,19,0,49,0,97,432,8,19,978,16,13,347,21,2,75,6,21,18,65,9,295,19,78,0
0,107,37,404,415,25,23,72,35,24,3,26,124,76,13,7,15,20,12,0,49,0,97,446,14,19,978,16,12,340,21,5,76,8,15,13,79,11,296,12,78,0
0,108,24,397,406,25,15,76,36,24,3,13,127,73,4,7,23,46,13,0,47,0,103,453,22,6,982,13,12,346,7,7,77,11,15,13,51,15,306,13,87,0
0,118,32,402,418,8,22,77,18,28,3,23,117,73,7,7,18,42,13,0,47,0,97,453,30,0,982,17,12,342,9,7,80,15,15,13,102,6,312,15,87,0
0,119,35,403,421,9,26,81,16,20,3,27,121,70,7,7,15,60,17,0,43,0,93,449,32,0,982,20,12,343,10,8,37,17,5,2,105,6,316,3,87,0
0,119,19,407,421,12,15,37,16,21,3,27,108,69,19,2,14,62,14,0,49,0,90,458,32,0,982,12,14,339,4,7,37,17,5,2,69,0,321,3,87,0
0,119,23,406,429,15,23,41,11,21,3,29,109,73,19,11,8,71,14,0,53,0,74,458,33,0,982,23,18,354,8,10,37,17,5,6,73,4,332,3,88,0
0,120,23,405,454,14,28,45,14,21,3,30,114,66,28,15,25,62,16,0,54,0,85,458,33,0,982,28,22,346,10,10,37,9,4,6,97,4,340,1,89,0
0,120,23,410,458,14,29,45,13,21,3,30,108,72,30,16,38,56,24,0,52,0,80,458,33,0,982,35,25,355,10,12,39,9,6,6,103,7,350,1,89,0
0,57,4,393,437,21,14,25,16,11,3,24,111,70,32,23,22,68,13,0,47,0,86,440,31,0,982,24,29,356,10,8,35,9,11,6,69,4,353,5,58,0
0,59,4,415,441,27,16,27,12,11,3,25,105,64,32,23,23,45,13,0,47,0,86,450,34,0,982,33,35,356,11,9,36,3,10,5,76,8,355,5,58,0
0,59,4,413,454,36,19,29,17,60,3,33,108,68,32,30,17,53,13,0,51,0,85,458,34,0,982,37,35,353,11,9,46,6,11,6,95,5,360,8,59,1
0,62,1,414,447,23,5,29,33,71,3,33,89,68,38,18,12,23,15,0,53,0,78,458,36,0,982,17,44,355,6,5,55,7,11,7,65,5,364,12,65,0
0,66,1,407,450,27,8,12,43,79,3,44,89,64,26,21,22,31,3,0,53,0,73,458,36,0,982,17,37,356,6,7,55,4,5,6,69,0,368,12,70,0
0,69,1,412,454,36,8,12,35,77,3,44,89,57,26,24,16,26,3,0,57,0,70,443,16,0,982,17,44,356,7,7,39,8,5,52,76,0,370,13,80,0
0,69,1,417,437,41,10,13,16,90,3,44,99,53,29,30,16,31,5,0,58,0,70,451,16,0,982,21,46,357,7,7,51,48,7,58,99,2,373,13,80,0
0,73,7,409,454,19,6,19,31,92,3,32,82,48,32,16,15,33,6,0,64,0,62,455,16,0,982,5,56,357,2,4,55,47,5,54,59,16,373,6,91,0
0,73,12,421,458,19,9,14,19,95,3,32,92,48,38,27,7,35,5,0,67,0,54,491,20,0,982,5,35,359,4,4,55,48,5,55,74,26,374,7,91,0
0,76,12,459,458,22,9,19,22,102,3,32,82,36,17,28,8,24,5,0,65,0,49,491,27,0,982,5,43,359,4,4,55,48,5,58,76,26,374,7,92,0
0,76,18,459,447,22,12,31,27,92,3,32,88,36,18,18,15,33,5,0,60,0,50,465,13,0,982,0,47,361,8,2,36,42,2,68,57,11,198,1,92,0
0,78,21,444,460,18,14,31,45,98,3,33,103,30,18,20,21,20,5,0,55,0,53,465,22,0,982,4,49,365,8,5,47,42,3,74,81,14,203,1,94,0
0,78,22,444,460,8,17,22,32,101,3,34,99,33,22,25,13,27,1,0,55,0,49,465,24,0,982,6,16,364,18,8,52,42,4,81,92,10,209,3,99,0
0,81,28,444,460,8,25,27,35,108,3,34,109,37,23,26,11,31,8,7,54,0,46,465,24,0,982,6,20,364,26,9,52,42,2,81,101,15,211,5,99,0
0,89,11,427,460,11,14,40,25,108,3,14,95,39,21,15,12,27,14,7,57,0,46,465,24,0,982,6,21,363,22,12,57,48,2,81,62,16,212,8,99,0
0,94,11,427,460,11,14,48,45,109,3,16,106,44,21,16,10,39,19,7,58,0,43,459,16,0,982,11,25,368,23,12,45,50,6,81,74,16,215,8,99,0
0,94,15,423,438,8,23,41,37,117,3,23,99,41,25,16,14,26,18,7,61,0,42,463,21,0,982,11,16,374,28,16,45,12,4,83,92,6,220,6,99,0
0,97,6,423,437,9,14,41,36,123,3,24,111,47,27,6,10,38,18,7,66,0,42,463,21,0,982,5,17,374,13,11,46,13,8,84,54,8,221,9,99,0
0,105,6,419,456,14,23,51,44,133,3,26,101,60,34,8,28,28,24,7,68,0,46,463,21,0,982,5,18,382,13,13,46,17,8,86,71,4,230,9,99,0
0,105,6,430,456,15,24,52,33,134,3,27,110,55,35,20,28,38,24,7,71,0,49,463,28,0,982,12,18,382,13,17,58,15,8,46,75,4,230,8,99,0
0,54,10,430,459,8,30,32,41,80,3,61,94,59,25,22,8,40,13,7,70,0,51,433,24,0,982,18,13,375,13,18,40,16,15,52,82,9,235,14,55,0
0,56,10,422,459,10,20,32,22,83,3,54,95,73,28,16,12,51,21,7,67,0,60,444,29,0,982,14,16,375,3,8,41,16,23,52,43,12,239,14,55,0
