L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42
17,41,10,30,9,7,8,10,6,16,116,7,21,31,30,17,10,19,17,0,26,410,35,55,13,13,0,3,3,54,3,0,23,6,12,0,18,5,86,8,39,37
3,41,11,35,17,7,10,10,6,16,119,10,14,31,32,17,12,14,17,0,22,417,40,56,13,15,0,3,3,63,3,0,27,6,12,6,34,5,92,8,39,74
18,45,4,21,22,10,9,10,14,6,131,9,15,33,34,9,13,16,20,0,24,399,41,33,13,2,0,0,6,65,3,0,12,6,12,7,29,5,93,10,39,63
0,49,8,23,32,14,9,10,20,6,127,9,21,41,42,20,12,21,7,0,23,398,41,36,17,2,0,0,12,64,12,6,16,2,0,7,41,3,96,2,39,48
1,49,8,12,40,14,15,11,30,12,135,13,27,41,19,39,11,22,7,0,23,402,44,41,20,15,0,0,13,76,14,13,16,2,7,7,44,3,99,2,39,26
13,49,10,17,44,16,13,11,12,18,155,20,31,46,19,34,24,29,17,0,20,394,44,53,20,25,0,0,17,56,18,13,16,2,7,7,39,1,103,4,39,17
11,49,15,13,50,9,15,15,17,18,148,26,26,48,19,34,26,35,19,0,24,371,44,53,27,25,0,1,20,56,24,13,18,4,7,0,47,9,105,2,39,12
9,48,15,23,34,13,17,7,15,17,154,26,31,53,21,34,20,42,16,0,25,360,46,27,16,23,0,4,17,48,24,17,8,4,7,8,58,20,108,2,32,21
3,56,15,38,36,13,22,7,24,24,156,26,29,54,21,36,14,32,16,0,27,357,49,29,16,23,0,4,19,56,26,29,8,7,11,8,61,20,110,2,32,12
20,56,13,33,39,14,9,9,26,24,168,23,48,56,15,19,12,39,20,0,27,364,46,31,16,23,0,4,32,52,12,16,8,7,4,8,51,14,110,0,32,14
8,57,13,44,19,5,15,16,41,32,167,27,32,53,10,19,21,17,20,2,30,438,46,46,16,31,0,4,41,56,12,16,13,7,8,8,62,14,111,0,32,23
7,60,13,37,23,9,17,10,34,39,173,30,42,53,18,19,15,24,4,2,38,505,45,57,16,33,0,4,24,40,12,16,19,7,10,8,63,3,112,0,32,12
7,60,7,46,32,9,8,10,38,31,185,33,27,53,20,17,8,16,6,2,52,539,46,38,5,18,0,0,26,64,2,6,19,0,11,0,34,8,114,0,36,34
74,64,8,46,32,14,8,10,35,37,190,34,38,56,22,20,8,33,6,2,52,580,45,42,6,22,0,0,30,77,2,6,19,2,11,0,34,5,119,2,36,12
70,67,9,54,40,16,8,14,25,42,193,35,19,53,23,20,7,21,9,2,56,593,44,42,20,22,0,0,30,83,8,9,22,4,11,0,49,5,122,2,36,21
46,67,9,73,40,14,8,9,48,50,202,36,29,52,21,25,13,27,5,2,56,588,37,47,24,22,0,0,10,75,8,9,22,4,5,0,66,7,123,4,39,7
12,67,5,66,44,16,1,10,30,55,231,22,27,52,23,10,14,36,5,2,57,626,43,51,24,22,0,8,17,85,6,9,26,4,6,0,48,15,131,4,39,11
7,69,5,74,40,16,1,14,33,36,245,24,22,52,23,11,9,28,6,4,63,617,44,35,27,6,0,8,18,107,6,11,15,4,7,0,61,20,134,8,51,23
15,69,5,70,53,17,3,14,14,45,254,24,39,42,23,11,21,33,10,4,62,713,42,42,32,15,0,11,21,112,8,16,15,3,4,4,65,25,146,7,57,4
10,72,3,80,56,7,3,10,25,55,273,27,43,42,38,6,31,24,5,4,66,714,39,48,32,15,0,11,23,106,7,9,15,3,4,5,50,15,148,7,59,10
19,73,11,66,45,7,3,10,24,60,295,27,43,37,18,10,34,28,5,4,59,700,34,55,34,20,0,12,23,123,17,9,15,3,4,5,71,18,148,7,59,11
6,79,11,67,53,11,4,15,28,61,292,30,39,44,20,19,24,15,6,7,59,686,35,67,34,26,0,12,23,116,17,18,15,9,6,7,85,13,152,1,61,15
12,90,11,71,54,19,8,19,23,49,310,30,46,54,20,19,11,21,6,7,47,658,32,54,23,25,0,13,27,120,17,19,2,9,10,7,98,17,156,16,61,1
16,90,8,80,58,15,9,12,35,50,313,22,37,62,20,21,11,10,1,7,49,658,32,64,35,25,0,5,19,118,16,10,2,9,10,7,70,18,165,20,61,5
19,101,8,87,71,24,10,15,32,50,327,22,47,59,27,27,8,10,5,7,59,787,35,79,39,27,0,5,19,132,19,10,5,8,8,2,80,26,165,29,65,29
9,105,8,95,84,28,10,17,32,55,319,22,38,63,9,28,15,6,5,7,53,759,45,86,39,27,0,5,23,132,19,15,5,8,10,6,110,18,165,38,69,15
28,105,0,100,94,37,5,18,47,56,329,24,54,62,9,15,28,13,7,7,53,761,53,99,44,31,0,3,27,140,10,7,9,8,10,9,78,21,165,39,69,67
1,64,4,100,89,25,5,13,48,38,337,24,41,67,15,25,23,14,6,7,54,728,62,70,23,34,0,11,20,127,11,7,9,10,9,7,103,6,100,20,39,28
0,64,4,121,95,28,5,15,63,41,346,27,40,74,15,25,13,24,6,7,56,690,62,76,23,36,0,11,30,132,15,8,9,15,16,7,111,6,103,20,42,0
0,64,12,127,96,32,11,15,40,41,337,28,48,73,21,25,19,27,6,7,56,650,65,89,33,36,0,11,37,129,18,8,10,15,16,13,127,4,126,25,52,0
0,67,12,121,82,32,7,15,51,48,329,25,50,75,36,14,26,41,15,7,51,613,61,105,44,40,0,8,38,139,13,3,10,21,14,8,87,13,138,5,52,0
0,74,25,123,95,32,7,7,31,48,336,27,69,71,27,14,31,63,9,7,53,579,68,121,48,50,0,8,19,145,13,7,12,24,14,8,97,17,139,11,52,0
0,80,26,137,106,11,20,17,33,30,345,29,46,65,29,18,25,59,17,7,49,536,71,96,34,45,0,11,19,158,13,7,5,25,14,11,105,17,143,11,63,0
0,84,26,158,107,11,16,25,13,35,360,29,71,69,29,5,34,74,17,5,47,498,71,99,36,47,0,3,26,159,14,8,5,12,5,5,68,6,158,6,63,0
0,92,26,155,110,13,20,28,19,35,331,29,57,78,29,7,32,62,19,5,44,526,71,115,38,50,0,10,31,183,14,8,5,19,5,5,76,13,164,9,64,0
0,92,26,161,114,13,29,22,22,50,322,29,74,75,29,7,21,72,12,6,47,557,72,133,48,53,0,12,15,170,14,12,5,19,5,5,89,13,172,11,64,3
0,103,26,166,116,10,40,22,24,54,312,31,66,64,6,7,27,55,12,6,42,559,72,150,48,58,0,12,18,181,22,18,6,7,5,0,90,13,183,5,64,1
0,105,5,160,120,22,27,22,31,39,332,19,67,60,8,7,21,65,18,6,32,520,66,145,33,53,0,13,18,175,10,22,5,7,10,0,47,8,188,5,64,0
0,117,5,179,135,26,34,28,19,41,335,24,49,63,12,9,25,45,19,6,26,488,63,163,33,53,0,13,18,190,13,22,5,7,11,4,58,8,193,7,64,0
0,120,5,177,140,26,37,6,32,42,344,32,59,63,15,10,24,69,15,6,26,453,64,164,33,55,0,23,7,177,24,22,6,4,6,11,58,3,193,2,64,0
0,129,0,181,144,23,13,6,17,42,345,34,51,76,15,8,20,72,23,6,37,418,65,196,33,57,0,14,10,208,18,14,6,4,10,11,51,9,199,11,70,0
0,129,0,170,148,22,13,9,32,42,341,34,46,74,15,14,18,81,29,6,36,376,67,220,35,61,0,14,15,211,18,14,6,6,10,19,51,9,209,11,70,0
0,144,3,178,171,24,13,9,42,19,364,37,59,75,21,17,20,84,31,6,36,331,70,204,19,48,0,14,15,230,18,21,11,11,9,19,67,13,210,10,70,1
0,144,3,190,152,24,14,7,62,20,358,37,42,74,21,17,17,65,26,6,39,297,64,222,22,48,0,14,13,236,21,26,14,11,9,23,75,6,216,10,75,0
0,144,5,194,153,28,5,10,50,20,365,39,54,76,21,17,7,75,26,6,37,257,68,223,33,59,0,0,20,249,7,16,18,11,14,25,63,9,225,10,75,0
0,156,8,211,171,7,5,10,65,30,361,39,41,77,21,18,8,53,38,6,33,219,72,235,40,60,0,0,20,238,7,16,18,5,12,14,70,3,225,5,77,0
0,162,13,202,186,13,5,12,46,36,379,39,43,69,21,18,18,77,46,6,36,159,77,254,42,60,0,9,20,255,7,16,26,6,12,14,77,7,228,5,81,0
0,102,17,223,179,15,5,15,23,25,376,39,24,72,18,9,27,51,24,6,35,168,79,235,28,36,0,9,21,244,5,0,21,6,18,14,57,4,237,5,50,0
0,107,31,235,186,15,11,16,31,35,363,39,30,73,19,15,19,64,29,6,36,136,73,248,28,36,0,16,30,256,7,3,29,1,16,10,57,7,238,4,50,0
0,110,31,250,197,9,21,22,20,41,368,40,14,68,23,15,16,45,29,10,28,144,75,263,28,36,0,21,38,261,9,8,35,3,16,10,61,3,250,4,50,0
0,114,35,262,186,9,28,24,30,41,363,51,23,70,25,15,12,55,33,5,27,103,77,268,30,40,0,21,38,290,9,8,36,3,16,12,71,3,250,4,55,0
1,114,29,255,189,9,23,20,48,41,383,27,57,70,29,6,5,21,9,5,35,74,82,284,38,41,0,12,40,281,15,11,36,5,8,10,42,10,257,4,55,1
0,115,35,277,195,9,23,24,55,25,401,27,66,71,30,10,16,26,9,5,35,30,89,260,34,25,0,25,46,284,15,19,26,10,8,13,49,10,260,4,55,0
0,115,41,270,198,8,23,26,46,25,409,27,65,66,36,10,33,20,9,5,41,0,88,266,36,27,0,26,48,283,20,20,34,10,8,14,52,13,294,4,58,0
0,115,16,277,193,2,6,26,54,25,386,27,66,64,36,7,36,31,11,5,40,0,85,274,48,30,0,14,49,283,12,13,34,13,1,4,35,13,298,4,58,0
0,122,27,284,199,2,8,11,33,27,374,30,74,60,46,7,37,33,7,5,42,0,88,291,52,30,0,14,28,282,16,13,41,13,1,4,44,8,307,8,58,0
0,124,27,278,227,2,8,11,41,27,399,31,80,62,50,22,51,41,7,7,47,0,119,313,57,33,0,19,28,282,17,13,44,22,9,9,48,12,314,11,69,0
1,124,31,289,225,46,15,14,23,13,383,31,92,64,31,22,36,52,11,9,46,0,119,292,35,20,0,19,28,275,17,17,32,19,12,5,54,10,223,22,69,0
0,129,15,280,239,65,20,14,22,13,362,15,47,72,23,19,22,40,11,9,49,11,118,309,39,22,2,5,28,285,5,16,32,21,12,5,53,11,221,22,69,0
0,129,17,294,248,65,20,14,25,23,334,18,56,53,45,23,23,47,9,9,44,5,119,310,44,25,4,13,16,274,5,16,32,21,12,8,104,2,221,22,69,0
0,141,18,273,232,65,26,31,23,23,326,18,39,54,45,26,18,32,9,9,44,2,103,326,44,26,7,13,18,282,11,33,32,16,3,3,109,13,228,24,73,1
0,148,3,291,235,68,11,54,29,23,319,19,42,54,51,14,6,35,10,9,44,0,139,353,48,26,14,8,20,280,6,28,35,24,3,4,102,13,228,27,73,40
0,148,3,291,240,66,11,54,32,23,310,19,35,57,58,14,4,51,18,9,44,0,130,340,30,6,25,8,22,282,8,28,17,24,5,4,115,18,228,29,73,0
0,152,3,302,235,66,14,50,48,23,298,19,46,60,41,14,15,64,13,9,49,0,130,353,30,12,50,10,16,271,8,30,18,9,5,7,115,7,232,14,73,0
0,153,5,340,231,71,14,50,51,23,280,22,39,59,42,35,19,34,15,9,54,3,128,357,40,16,92,14,16,279,13,30,23,13,5,18,120,7,232,14,73,0
0,162,2,336,239,82,11,57,52,23,256,29,53,70,42,25,21,34,17,9,48,3,131,368,40,16,130,8,21,261,7,5,26,13,9,22,99,1,232,14,79,0
0,166,2,334,249,35,13,60,43,23,240,34,25,65,42,25,26,19,19,9,51,33,129,369,40,16,183,8,25,266,7,5,28,12,10,21,110,3,236,0,83,0
4,72,3,328,230,30,15,39,50,6,216,34,25,60,50,25,25,15,11,4,53,15,131,329,27,10,209,8,9,266,11,5,11,14,17,21,127,4,236,0,39,0
0,72,15,328,228,30,12,41,44,12,188,34,36,62,15,2,22,26,11,4,49,5,125,342,28,10,242,2,23,277,17,3,13,14,19,21,63,5,237,0,39,0
0,72,19,316,234,30,12,46,35,15,175,36,27,68,18,3,12,22,11,4,50,0,89,345,36,10,281,2,30,284,17,6,15,11,12,12,85,10,242,1,39,2
0,72,19,317,216,43,12,46,37,27,143,48,31,70,18,3,10,25,11,4,52,0,91,357,37,10,311,5,30,295,17,10,15,12,13,23,97,12,243,6,43,0
0,73,62,325,213,27,15,33,43,28,132,48,33,69,25,12,7,14,2,4,54,37,90,357,37,12,326,5,23,277,17,10,15,15,18,23,98,14,244,11,45,0
0,73,59,319,232,29,8,33,49,25,125,37,45,67,25,11,4,29,2,4,54,43,89,331,26,2,351,3,32,284,8,7,4,6,9,13,62,14,244,18,45,0
0,73,63,341,236,30,8,40,35,35,111,38,28,68,20,19,34,30,5,4,54,0,85,339,26,2,395,3,35,271,8,7,8,9,9,19,80,5,254,18,47,0
0,73,64,333,226,36,11,44,42,42,98,38,39,67,12,22,81,41,12,4,58,0,86,346,26,3,459,3,43,284,10,7,12,9,9,19,89,14,257,18,49,0
1,80,47,377,226,12,8,15,29,50,96,38,34,67,12,11,55,31,15,4,64,0,79,360,26,3,494,0,18,269,7,15,15,3,3,21,47,10,259,12,49,0
0,97,48,387,236,13,12,19,40,50,88,38,47,67,12,11,48,36,15,4,62,4,81,387,30,7,541,0,18,282,9,22,16,3,4,75,56,10,264,54,51,0
0,113,49,390,215,16,65,20,23,26,72,41,35,67,12,14,6,24,16,4,62,5,80,367,14,5,579,5,19,287,9,26,12,3,4,79,61,3,276,60,51,0
0,113,52,390,222,16,69,20,23,26,72,44,60,63,12,14,8,24,26,4,70,10,78,378,14,9,624,5,24,289,9,26,12,0,1,68,63,3,278,57,62,0
0,116,9,386,223,7,61,5,20,26,66,18,39,62,2,3,10,28,15,4,85,6,78,386,20,9,653,13,12,285,2,29,12,0,1,70,38,4,285,57,62,0
0,119,9,395,213,4,61,10,20,28,51,18,39,60,2,4,16,25,15,4,85,10,78,391,20,9,682,13,21,292,12,30,17,0,1,73,42,7,301,59,62,0
0,129,21,393,227,5,61,10,23,35,42,25,44,61,7,4,14,27,15,4,80,0,77,395,27,9,688,18,28,306,13,30,22,0,0,67,48,8,304,10,62,2
0,129,17,393,241,7,61,12,31,14,34,29,23,54,10,4,11,28,15,4,76,10,80,366,13,7,713,13,33,313,11,4,15,0,2,69,33,10,306,10,62,0
0,129,17,383,247,7,63,14,38,20,31,40,33,51,10,5,25,33,3,0,78,0,42,381,16,9,722,13,25,315,11,6,15,0,5,76,43,9,312,17,62,0
0,133,17,387,251,6,66,14,17,20,19,42,24,51,8,5,50,29,11,1,71,3,42,388,16,21,728,13,25,318,11,6,25,1,5,76,44,13,324,14,65,1
0,141,19,388,255,6,69,17,37,20,12,43,27,41,17,6,79,33,11,1,83,0,35,391,16,26,734,13,25,325,15,8,26,1,6,76,55,12,324,14,66,0
0,151,8,392,261,12,17,25,28,25,6,36,24,43,17,13,65,27,11,1,84,7,33,404,16,27,738,0,25,327,4,4,26,41,8,80,30,12,332,14,67,0
0,86,10,392,242,14,18,22,39,12,2,43,40,43,17,15,61,33,13,1,88,0,33,385,3,23,738,0,20,341,9,4,16,41,4,80,32,5,161,6,32,0
0,89,11,384,246,11,24,24,17,17,2,43,39,40,17,15,14,63,13,1,88,0,32,391,7,25,738,3,23,354,9,12,16,41,4,84,33,5,170,8,32,0
0,92,11,393,251,12,9,38,30,24,2,43,45,38,9,14,16,71,13,1,89,0,36,403,9,25,738,3,26,354,9,8,16,41,9,84,21,2,176,8,40,0
0,97,11,386,239,12,10,50,28,24,2,47,23,39,27,14,31,55,14,1,82,0,40,419,9,25,738,4,28,354,9,10,18,43,12,53,29,2,177,7,40,0
0,97,11,404,251,12,12,32,19,39,2,47,25,39,31,14,68,56,3,1,71,0,41,427,9,25,738,10,27,352,9,10,18,43,12,53,40,3,181,10,44,0
0,97,11,404,270,22,12,38,34,28,0,50,62,43,34,24,48,33,5,1,73,0,46,428,21,11,740,11,27,352,11,10,2,43,12,53,48,8,181,10,47,0
0,97,5,405,267,59,3,45,21,32,0,28,66,41,40,10,50,23,5,1,67,0,38,436,23,13,748,8,37,355,2,2,2,43,10,43,32,9,181,3,52,0
0,101,8,408,263,59,5,46,34,41,0,31,73,45,43,14,13,46,7,2,56,0,40,438,26,13,756,21,37,356,2,4,7,43,10,43,32,9,184,6,52,0
0,103,8,391,267,66,5,30,24,41,0,36,96,45,37,15,10,38,4,2,53,0,34,453,33,13,756,21,20,351,6,4,7,43,10,43,38,8,192,6,52,0
0,103,9,402,276,66,2,34,32,44,0,39,99,54,37,6,14,53,11,2,56,0,36,463,43,13,756,14,20,356,4,4,9,2,4,27,12,8,197,3,53,0
0,103,12,396,255,50,2,34,22,29,0,43,103,58,37,9,18,42,11,2,60,0,38,445,38,2,761,14,20,353,5,6,48,2,4,27,16,7,200,3,53,0
0,108,17,401,259,50,2,66,28,31,0,43,112,60,37,24,13,42,16,2,92,0,38,453,38,3,761,17,20,359,7,6,48,2,4,30,27,11,204,3,58,0
0,121,33,403,269,50,15,43,16,32,0,48,68,68,40,25,18,16,14,2,96,0,40,457,41,3,764,22,8,350,7,8,48,5,0,23,28,10,205,5,58,0
0,124,32,395,262,50,18,54,20,33,0,32,69,66,14,21,20,29,17,2,103,0,40,457,41,3,764,13,12,356,5,6,48,11,4,28,31,14,206,8,62,0
0,128,36,401,268,50,19,61,26,33,0,34,60,66,14,22,22,22,20,2,112,0,40,462,41,3,764,13,15,345,5,10,48,22,4,31,37,11,206,9,62,0
0,128,36,400,273,50,23,61,24,18,0,34,64,66,17,28,12,29,20,2,112,0,43,453,28,6,764,13,15,385,5,10,41,20,4,15,39,13,208,9,62,0
0,128,13,418,263,50,20,50,35,18,0,37,38,56,19,8,8,26,8,2,110,0,44,466,30,7,764,8,9,377,2,8,44,20,4,20,21,9,209,15,62,0
0,131,13,407,264,50,25,50,26,18,0,37,54,56,19,8,20,30,8,2,110,0,53,470,31,7,764,12,13,377,2,8,44,26,4,24,33,10,215,15,75,0
0,131,13,403,280,7,25,50,34,18,0,37,50,54,8,19,21,32,12,2,115,0,53,470,31,7,764,12,18,373,2,8,44,24,0,16,49,5,228,6,86,0
0,131,24,407,283,10,28,50,28,18,0,37,51,62,9,19,9,28,13,2,114,0,50,470,34,7,764,12,18,373,2,10,45,29,4,16,49,10,230,6,86,0
0,54,14,411,270,16,17,18,31,13,0,10,71,50,9,19,1,51,5,2,117,0,49,450,24,6,764,8,15,369,0,8,45,33,4,20,35,8,237,6,59,0
0,56,19,412,277,20,17,18,31,15,0,53,56,49,9,20,5,44,16,3,116,0,56,451,24,10,764,10,15,369,10,8,56,16,4,14,42,8,237,0,63,0
0,56,22,416,287,20,18,18,38,22,0,57,63,48,9,20,12,71,18,3,112,0,53,451,24,12,764,10,15,367,10,8,56,16,4,14,56,5,240,0,70,0
0,56,10,420,272,21,5,18,35,33,0,57,44,51,13,9,9,57,20,3,112,0,46,466,27,16,764,6,19,367,13,2,56,16,6,14,36,6,245,0,70,0
0,59,14,415,288,21,5,0,46,37,0,57,52,50,8,9,24,57,19,5,112,0,48,472,27,16,764,6,8,370,13,2,62,4,4,9,43,3,245,0,70,0
0,59,14,422,297,22,5,0,34,28,0,62,41,45,9,10,33,29,20,5,111,0,50,450,10,12,764,6,15,370,13,5,21,4,6,12,44,6,245,6,70,0
0,63,18,429,299,22,6,0,43,28,0,62,42,54,10,10,21,38,20,5,75,0,51,469,10,12,764,13,15,363,16,5,21,10,16,12,73,5,245,6,74,0
0,67,13,433,306,2,1,8,32,28,0,53,26,43,21,1,25,17,20,6,74,0,49,471,10,14,764,14,15,369,44,3,21,10,16,7,58,5,245,6,74,0
0,74,17,445,319,2,2,8,21,37,0,57,41,43,21,2,29,32,9,6,63,0,49,471,10,14,764,14,17,360,45,9,21,17,16,7,63,3,246,6,79,0
0,81,17,407,319,2,2,8,30,37,0,68,36,47,13,6,16,25,15,6,64,0,51,471,10,24,764,14,17,368,45,9,21,17,16,11,69,5,258,6,79,0
0,81,9,411,303,2,13,8,13,25,0,68,43,46,23,5,10,30,18,4,64,0,65,448,4,14,764,7,17,368,47,19,19,13,5,5,25,3,102,3,80,0
0,81,16,407,311,0,13,8,21,27,0,76,42,51,28,6,34,20,18,4,61,0,72,451,8,14,764,7,20,373,52,20,26,15,5,18,37,7,107,3,80,0
0,85,18,414,312,0,33,6,25,27,0,86,61,49,43,6,29,18,17,4,56,0,74,451,14,20,764,8,18,379,52,20,26,15,5,32,53,4,108,10,80,0
0,85,23,423,290,0,35,6,28,27,0,86,73,49,48,6,24,38,20,4,58,0,69,463,16,20,764,8,18,379,57,33,26,8,3,31,67,7,108,12,90,0
0,85,14,409,301,0,22,6,25,31,0,49,58,48,35,4,40,28,20,4,60,0,84,468,16,23,764,2,18,378,57,29,38,8,3,31,54,5,108,12,90,0
0,88,16,411,346,0,31,14,27,22,0,49,69,48,35,4,38,28,21,4,60,0,80,440,12,12,764,6,21,378,58,29,21,8,6,35,59,5,114,12,90,0
0,88,18,419,334,1,31,28,28,22,0,55,54,33,40,15,19,8,8,4,64,0,93,449,12,12,764,6,8,365,63,33,21,0,7,28,59,2,116,2,93,0
0,92,6,427,329,4,9,29,34,29,0,61,65,30,44,16,17,21,8,4,59,0,89,450,12,12,764,4,11,372,16,17,21,0,7,28,23,4,124,2,97,0
0,92,10,426,343,4,12,32,34,32,0,61,44,32,44,16,26,28,8,4,48,0,89,452,12,12,764,4,13,364,16,17,21,2,8,35,27,12,128,2,97,0
0,92,14,429,349,20,12,35,18,32,0,62,51,36,44,17,12,48,8,4,45,0,83,459,13,12,764,4,17,376,16,17,21,4,46,23,29,12,139,5,99,0
0,44,15,429,351,20,15,21,28,17,0,66,26,36,13,17,16,31,11,4,44,0,82,434,1,3,764,4,9,371,19,24,12,4,46,24,32,10,143,6,41,0
0,44,15,434,355,27,8,21,15,27,0,29,41,36,13,4,20,47,11,4,44,0,82,434,1,3,764,5,9,373,3,7,12,8,46,38,27,10,143,14,41,0
